,Title/Classification
Associate Professor,103
No Data,100
Professor,75
Assistant Professor,33
Distinguished Professor,16
Graduate,11
Professor Emeritus,9
Distinguished Professor Emeritus,4
,3
Assistant Dean for Extramural Student Programs,3
University Professor,3
Department Chair,3
Research Scientist III,2
Assistant Teaching Professor,2
Social Ecological Researcher,2
Associate Teaching Professor,2
Professor and Director of the Greenlee School of Journalism and Communication,1
Data Analyst II,1
Adjunct Associate Professor,1
Postdoc Research Associate,1
Senior Associate Dean for Academic and Student Program Success and Innovation,1
Lead Public Health Veterinarian,1
Associate Dean,1
Education Extension Specialist I,1
Adjunct Assistant Professor,1
Lecturer,1
Teaching Professor,1
Interim Director of the Center for Survey Statistics and Methodology and Professor,1
Professor and Interim Department Chair,1
Senior,1
